Number of Variables,Time,Date,Trasition Name,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,¿ÀÈÄ 10:43:50,19/10/2018,"[['l', ['f:3.659400 r:0.703900']], ['l', ['f:8.960500 r:5.606300']]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,hmi_RCSLT459_VALUE,hmi_RCSLT461_VALUE,hmi_CVCLT149_VALUE,hmi_CVCFT121_VALUE,hmi_CVCPT120_VALUE,hmi_CVCFT142A_VALUE,hmi_CVCFT143A_VALUE,hmi_CVCFT144A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT158_VALUE,hmi_CVCFT159_VALUE,hmi_CVCFT160_VALUE,hmi_CVCFT161B_VALUE,hmi_CVCFT215A_VALUE,hmi_CVCFT215B_VALUE,hmi_CVCTT127A_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCPT115_VALUE,hmi_CSSLT09_VALUE,hmi_CSSLT10_VALUE,hmi_CHSRT311_VALUE,hmi_CHSRT312_VALUE,hmi_CHSRT313_VALUE,hmi_CHSRT321_VALUE,hmi_CHSRT322_VALUE,hmi_CHSRT323_VALUE,hmi_CPSRT221_VALUE,hmi_CPSRT222_VALUE,hmi_CPSRT223_VALUE,hmi_CPSRT331_VALUE,hmi_CPSRT332_VALUE,hmi_CPSRT333_VALUE,hmi_CVCTT130A_VALUE,hmi_CVCIT1_VALUE,hmi_CVCIT7_VALUE,hmi_CVCIT17_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT403A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT443C_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT463A_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPT455A_VALUE
1:32,0.293154539,0.065055734,0.38793156,0.877570027,0.274354394,8.93272E-05,0.718669164,0.559812127,0.122708438,0.57807852,0.051430519,0.241075414,0.991111931,0.524110218,0.856987515,0.280500932,0.775858432,0.289066372,0.760340236,0.072009362,0.092013828,0.503999719,0.24648666,0.170101947,0.092911569,0.336705066,0.121779107,0.072370108,0.435289583,0.263079973,0.301560339,0.944761221,0.611161491,0.043725448,0.236505928,0.76715636,0.145454924,0.970655402,0.911735799,0.966596804,0.460224849,0.375876721,5.06507E-05,0.61951734,0.473703228,0.166387947,0.939083181,0.425185452,0.659181107,0.326262895,0.538530755,0.282571362,0.418272512,0.735507119,0.781979404,0.131758095,0.86227478,0.823741226,0.762540903,0.315955805,0.822581257,0.355679833
1:33,0.224845402,0.072549106,0.408041881,0.12369933,0.887540039,0.672886926,0.367774553,0.593712374,0.195221455,0.078747165,0.099911329,0.499419186,0.352268444,0.111999026,0.205143085,0.985194138,0.293214588,0.33605181,0.107287414,0.11829888,0.589594158,0.918972776,0.384963308,0.806003433,0.250591854,0.71649897,0.354814472,0.75254681,0.402373445,0.903036832,0.678819824,0.652469259,0.466738417,0.19389548,0.988495643,0.379830691,0.453679765,0.371043238,0.896628636,0.42510519,0.385002125,0.71657965,0.836806196,0.313510762,0.287733914,0.569006046,0.984409923,0.755989739,0.377162104,0.186666131,0.527133758,0.987304217,0.711218848,0.524472536,0.134108868,0.876921961,0.231320149,0.11134728,0.646454828,0.624468944,0.596438572,0.944664878
1:34,0.048157647,0.805436828,0.342268404,0.435677743,0.228233232,0.713777805,0.479501596,0.026638179,0.36265952,0.355305621,0.650594257,0.406379679,0.771908355,0.719964556,0.069721858,0.680829103,0.856217842,0.36312384,0.378427162,0.577517583,0.703888173,0.686017533,0.389907233,0.350198771,0.027156911,0.079239071,0.278426908,0.114997717,0.43497788,0.500969534,0.318281744,0.199550704,0.27240809,0.794300015,0.338258039,0.92005573,0.288645606,0.923101722,0.153077874,0.860493909,0.618672314,0.803197301,0.760209661,0.168045784,0.987073929,0.861073778,0.569418709,0.298666042,0.531347914,0.234875416,0.911715528,0.366879501,0.448824839,0.104068828,0.968014145,0.912269656,0.645062138,0.039575813,0.733680957,0.243515867,0.472022,0.052770058
1:35,0.809949296,0.002329888,0.517156092,0.574941795,0.001799284,0.858718607,0.23299162,0.02705882,0.689798932,0.686456867,0.962446278,0.196215554,0.050317077,0.185059665,0.48218924,0.162415273,0.444493922,0.565036831,0.514608427,0.436404122,0.15437616,0.436424436,0.545844994,0.472382674,0.229151735,0.655736543,0.728898453,0.863745437,0.46719302,0.6701624,0.478253429,0.642573919,0.841897563,0.187186731,0.798466534,0.782407551,0.158865995,0.870749059,0.438892772,0.134298747,0.184384562,0.780810234,0.101000191,0.644023104,0.155714232,0.072981574,0.510861033,0.972605917,0.851365071,0.901549257,0.855286698,0.827974186,0.492382277,0.96708843,0.404026727,0.741594897,0.95599259,0.320722707,0.638405146,0.592613382,0.879814837,0.810046516
1:36,0.260834288,0.132518988,0.193204342,0.473698269,0.009887535,0.709147869,0.497496861,0.79708022,0.484390535,0.701774238,0.294985167,0.513050943,0.885200958,0.604649371,0.436805208,0.797457855,0.608728267,0.635666089,0.357077747,0.461056284,0.4906057,0.922978335,0.539453853,0.751164607,0.376809989,0.150109042,0.683287936,0.414372192,0.052475479,0.6000111,0.723895897,0.620848529,0.354115342,0.67599252,0.140957031,0.776555088,0.578581041,0.038013425,0.042033322,0.264930527,0.520708475,0.263091849,0.024866813,0.55312846,0.109591511,0.401854396,0.524944299,0.259597242,0.593959057,0.487020306,0.787896808,0.885423652,0.991477711,0.880775864,0.155754597,0.878810011,0.262365025,0.953107695,0.661393813,0.31148295,0.535612763,0.340795212
1:37,0.098590726,0.14520066,0.610051752,0.439695636,0.467089526,0.026987349,0.697585546,0.06650601,0.791782356,0.331551723,0.388205711,0.751693633,0.139693356,0.408461779,0.902331302,0.588505298,0.774391163,0.761042924,0.251718206,0.569799811,0.580998547,0.608449881,0.79834952,0.510173067,0.058790641,0.078861178,0.615802758,0.597207955,0.175130738,0.278281944,0.989045935,0.912450459,0.98713517,0.134216998,0.097932874,0.377769991,0.416399299,0.606856716,0.749855237,0.371304067,0.484423624,0.34984814,0.658381962,0.864300271,0.627823205,0.684217982,0.243631144,0.312652063,0.455438829,0.000322726,0.326848612,0.734956194,0.656695802,0.457801865,0.476302106,0.751591067,0.37575472,0.585845621,0.448112733,0.478015496,0.324371803,0.86478496
1:38,0.727922223,0.196641607,0.935004976,0.161048724,0.164754893,0.285696355,0.310169259,0.63826114,0.318446568,0.985504678,0.4577651,0.478431412,0.131323507,0.430153808,0.838078881,0.629918169,0.057718294,0.27405156,0.820071574,0.251112298,0.433307757,0.983226141,0.107948851,0.424595523,0.085778854,0.902229624,0.365886535,0.756434185,0.580741767,0.172491351,0.719934734,0.971949019,0.70637309,0.956988401,0.455793387,0.94441416,0.863216033,0.30744783,0.766181815,0.281503223,0.272666063,0.505815261,0.575302936,0.825017042,0.328533235,0.643100735,0.429028197,0.904541175,0.656112857,0.843005085,0.159734495,0.868574504,0.53020733,0.631449349,0.649388209,0.376795201,0.84308239,0.338751502,0.26684792,0.801814168,0.363449664,0.989386799
1:39,0.488941309,0.814737989,0.099515574,0.593874564,0.077199374,0.36212269,0.595722928,0.263588632,0.446296938,0.070944286,0.633298194,0.221798643,0.325422687,0.801151322,0.470171996,0.500109406,0.235306735,0.933651184,0.895853722,0.616100983,0.012381444,0.348635751,0.005032484,0.106257946,0.747417927,0.950242101,0.139234619,0.99264847,0.8747656,0.592169134,0.543391722,0.772726535,0.946195257,0.549583437,0.417825428,0.67718428,0.826765105,0.335744884,0.913050583,0.630303172,0.762881291,0.851765495,0.89970617,0.183365697,0.156454349,0.089179446,0.178301837,0.309808707,0.831654261,0.311894139,0.898743775,0.28614307,0.839051764,0.993622024,0.656158818,0.667987119,0.398319645,0.318788055,0.693442121,0.359761969,0.439606776,0.945207263
1:40,0.766842719,0.27497513,0.510523568,0.320788293,0.729578631,0.626170407,0.897955874,0.83509342,0.416681312,0.876411355,0.769682655,0.092734943,0.742417555,0.303912735,0.874902668,0.243710936,0.144033535,0.3690165,0.858644868,0.995404281,0.799404835,0.15271767,0.200737211,0.376393937,0.921882017,0.001450802,0.947577608,0.922509568,0.543339377,0.114043756,0.743689213,0.877694891,0.229972392,0.568761695,0.980390986,0.797846155,0.285545681,0.019153417,0.535299849,0.975851033,0.261845149,0.714990639,0.059773958,0.201194053,0.225426599,0.989834042,0.340620349,0.815455173,0.760236451,0.397417942,0.429743772,0.853906404,0.896446834,0.006921539,0.414065829,0.801112133,0.532756372,0.067850544,0.529458395,0.637462627,0.720112658,0.571334169
1:41,0.228581432,0.355475837,0.883473548,0.064098178,0.61145701,0.675210487,0.663707193,0.253844216,0.850916768,0.689795594,0.909268969,0.455179862,0.025540935,0.533369078,0.824246819,0.291124817,0.905360206,0.063336519,0.77748756,0.130006622,0.603338888,0.565511557,0.007115808,0.566576191,0.411391544,0.127140034,0.529133349,0.302665764,0.467989554,0.452726947,0.28091016,0.919329367,0.427022591,0.773337478,0.940281134,0.200126815,0.908423479,0.563735875,0.802198488,0.766941449,0.217864052,0.171721521,0.796921645,0.861772667,0.226902347,0.762391105,0.56234633,0.930393048,0.672033065,0.127416832,0.85904571,0.445064298,0.774051708,0.560071953,0.971073793,0.561498355,0.732226266,0.858857548,0.722674394,0.346222068,0.350070588,0.135538116
1:42,0.388599055,0.022013214,0.969755142,0.83583535,0.576472742,0.810418492,0.951432983,0.780020306,0.696087933,0.041777566,0.472175027,0.518535278,0.96089241,0.19869959,0.652254384,0.965756991,0.551767244,0.235170751,0.724415846,0.735105515,0.165086492,0.225472886,0.37032014,0.021289399,0.760931831,0.201783951,0.465119926,0.084207161,0.881419064,0.693819852,0.759058212,0.345423532,0.906339856,0.968545598,0.125233536,0.51893641,0.637396687,0.882905219,0.445688766,0.613737889,0.275118986,0.227482334,0.843211701,0.393641878,0.606089464,0.566513979,0.555640262,0.34274316,0.091789585,0.837562802,0.447854161,0.576639793,0.650086668,0.45763535,0.517545139,0.572358377,0.410287925,0.456571965,0.576599433,0.459384053,0.940357747,0.724566967
1:43,0.393047681,0.368896094,0.053131924,0.097338211,0.535158216,0.726067832,0.25506682,0.66489691,0.695104091,0.473846234,0.420080314,0.447074883,0.276528575,0.190612778,0.952602598,0.600370942,0.31583434,0.460336014,0.787339479,0.458346848,0.374117389,0.421981579,0.163377824,0.802555359,0.787514485,0.406598566,0.069260851,0.579465397,0.018499026,0.438493087,0.139278473,0.024358063,0.421859062,0.700506176,0.880397168,0.223996151,0.944174222,0.1618985,0.339056138,0.130516128,0.268951733,0.145469408,0.883278162,0.600744,0.19442543,0.716223783,0.875987908,0.705841944,0.743387208,0.246846188,0.997523,0.027127323,0.801815111,0.538011362,0.439809055,0.716546684,0.835109116,0.315989084,0.772139009,0.032668664,0.103908498,0.192877197
1:44,0.836300044,0.432130662,0.544401121,0.433508824,0.038213241,0.345696427,0.102026694,0.439879594,0.56143741,0.825679747,0.131536296,0.195908466,0.478413249,0.38688988,0.610321177,0.258245897,0.902899759,0.341378455,0.089781595,0.663194082,0.549639965,0.530239199,0.802132452,0.952324133,0.84872009,0.608200201,0.759660192,0.096875166,0.545892983,0.370908007,0.701710591,0.719605863,0.17404828,0.8147165,0.854680036,0.764663396,0.040176005,0.805055165,0.38163879,0.18985416,0.427755167,0.105015982,0.679911566,0.459678888,0.117840274,0.649988022,0.41738861,0.907127817,0.106281562,0.057689903,0.669899804,0.902597538,0.527726964,0.90989461,0.840244803,0.787577399,0.795641315,0.871614548,0.148337043,0.926624654,0.000539955,0.325455805
1:45,0.245443261,0.081319138,0.311051928,0.86637204,0.453386481,0.139385896,0.749443133,0.346160712,0.222202105,0.304247132,0.687468827,0.391443322,0.28326091,0.694573393,0.203787583,0.240439139,0.473749696,0.262216999,0.670615519,0.880836042,0.672610443,0.899399183,0.824859957,0.751750722,0.268857423,0.10255743,0.535092456,0.087908525,0.399075729,0.460238402,0.878164379,0.535566821,0.309614218,0.570016647,0.489087174,0.008234547,0.312322768,0.345067593,0.009986051,0.451851898,0.741944921,0.482694284,0.045559999,0.650349654,0.718714706,0.352908983,0.575954078,0.095722058,0.875244823,0.48261294,0.369836814,0.116542827,0.195043909,0.626668623,0.702041748,0.67680122,0.240681638,0.224040562,0.421969788,0.319943554,0.909557149,0.131786403
1:46,0.468026544,0.806780142,0.714680912,0.529560504,0.012766556,0.893548809,0.967796702,0.541004609,0.21943782,0.827076094,0.259611278,0.34613068,0.705681893,0.071915738,0.132533211,0.397843791,0.318166973,0.723032948,0.408122516,0.685667011,0.650154509,0.51001621,0.291290732,0.315944812,0.919944113,0.318918907,0.030724759,0.964208825,0.878468909,0.826394406,0.374719353,0.928019398,0.410880524,0.19849465,0.999376623,0.493808831,0.446531629,0.380921279,0.28410981,0.445621953,0.412588491,0.568686704,0.706213268,0.012538066,0.128923058,0.801511254,0.104272123,0.654631249,0.053652267,0.186477093,0.02424902,0.758149653,0.173629697,0.005540823,0.773283223,0.054652222,0.639427128,0.085430275,0.176742637,0.060740865,0.934705129,0.121678797
1:47,0.193180911,0.15951228,0.805296202,0.868566754,0.081103787,0.098829461,0.362074524,0.934330078,0.108406226,0.430536278,0.578616202,0.655874934,0.219746174,0.241456085,0.817143522,0.171396973,0.092216175,0.671319566,0.091480637,0.283576584,0.159202091,0.00414548,0.242642497,0.998267873,0.14639365,0.855012166,0.702500129,0.237087028,0.55273866,0.161618383,0.868993796,0.002926002,0.972762882,0.177663226,0.435730281,0.937890898,0.479776836,0.358907681,0.41999519,0.887284678,0.297503511,0.700096114,0.906431784,0.611665865,0.740227326,0.799041102,0.803334128,0.214450044,0.612178158,0.605557423,0.855050994,0.573014448,0.984966954,0.071430546,0.094129226,0.348937249,0.723991805,0.398888335,0.784717485,0.472369784,0.006958339,0.489108392
1:48,0.629235574,0.920997299,0.460514363,0.304332769,0.178684787,0.350982039,0.826072071,0.686910068,0.897575579,0.263642089,0.910831836,0.169860829,0.174160363,0.447539737,0.985077875,0.425647315,0.621018372,0.134394338,0.431451698,0.309246535,0.614782066,0.711114156,0.266311666,0.070390127,0.248824251,0.786738371,0.898704299,0.691591568,0.553944195,0.089800645,0.723929474,0.661122071,0.595344474,0.383977667,0.247058835,0.924161783,0.841355359,0.390563267,0.529727176,0.422580685,0.152012515,0.923738196,0.107083801,0.936846558,0.539578524,0.15548155,0.009043769,0.587343145,0.169561589,0.838311368,0.480309295,0.044002933,0.379288289,0.584845105,0.672161129,0.863054457,0.102197148,0.107208565,0.812908585,0.412786327,0.311887025,0.256647865
1:49,0.400470533,0.583174203,0.597532183,0.569088066,0.342195146,0.16192965,0.837735242,0.620131432,0.406353277,0.321908003,0.467158146,0.62787098,0.285097699,0.75000354,0.886230515,0.652045392,0.156290275,0.421627759,0.306185661,0.194715618,0.953188112,0.70834871,0.190727388,0.777771142,0.666645659,0.343695872,0.317942334,0.423249271,0.893399505,0.690613443,0.054635334,0.147706983,0.398571381,0.560977332,0.287154693,0.791545111,0.356109979,0.289951822,0.034893144,0.782225502,0.952581648,0.470657119,0.36657977,0.70975742,0.602633605,0.135622954,0.677577502,0.156380945,0.956856111,0.555838199,0.69685728,0.151737381,0.492618281,0.41566237,0.803811631,0.13256507,0.450592854,0.867656302,0.595506762,0.446665574,0.696075536,0.418247812
1:50,0.769131006,0.578874443,0.506344815,0.816246944,0.865354444,0.098975255,0.823424168,0.073174625,0.577982549,0.073200443,0.173746087,0.614910571,0.474066649,0.574328215,0.813220862,0.08870817,0.31787435,0.888768735,0.728854116,0.349476515,0.333622469,0.571458843,0.550156895,0.272471896,0.030505582,0.170946717,0.157867912,0.508796663,0.259369634,0.120338538,0.609715429,0.328446288,0.794650436,0.517243155,0.328114416,0.503144878,0.477943862,0.355248578,0.26981028,0.563526949,0.215615725,0.845574908,0.372208887,0.696255863,0.799435349,0.179009658,0.055841613,0.344243541,0.193692758,0.219309474,0.574452482,0.36690302,0.566597156,0.382924168,0.841588746,0.807291827,0.566995981,0.487376694,0.786977445,0.787369305,0.553418007,0.349217781
1:51,0.877748252,0.83401256,0.813207596,0.525536893,0.455186639,0.956112983,0.187471281,0.190901013,0.742454779,0.807790379,0.323540763,0.884073658,0.605557811,0.990620635,0.151364572,0.11988885,0.159935696,0.393871732,0.906657694,0.134571069,0.673500136,0.79052219,0.845951085,0.216008391,0.426491037,0.816512573,0.653877549,0.471636795,0.653165978,0.863982001,0.008565855,0.674549231,0.439024543,0.139774714,0.318890963,0.192088258,0.957511485,0.307260079,0.212891867,0.479800037,0.561602453,0.065224757,0.88342613,0.596612891,0.613762332,0.982725583,0.989712977,0.790533126,0.251299633,0.092018217,0.072577624,0.080072761,0.735373608,0.475767885,0.848164243,0.699764278,0.081879795,0.502295056,0.626728858,0.560630348,0.08804107,0.818547238
1:52,0.313278773,0.206499981,0.382914518,0.659642603,0.406590079,0.257913941,0.69892563,0.556666251,0.539802854,0.436803423,0.203362652,0.826532977,0.415324822,0.424272772,0.740645916,0.845447588,0.007555101,0.442056078,0.13223459,0.47982965,0.742535937,0.189970567,0.593065912,0.577523893,0.428662489,0.259592738,0.779184036,0.227504949,0.971123383,0.565741297,0.811961721,0.922393781,0.851767819,0.294825713,0.217310003,0.365843514,0.163738687,0.91378812,0.485662768,0.225700152,0.329100686,0.610338619,0.286742108,0.377151118,0.687068368,0.663103201,0.402373869,0.929722969,0.95205221,0.72258366,0.877423056,0.667623519,0.631531272,0.524073722,0.980574455,0.36574056,0.994101518,0.087180271,0.076889492,0.958238423,0.652954401,0.872919793
1:53,0.076831117,0.748886923,0.731532117,0.518263825,0.208923158,0.210314752,0.470676894,0.454739096,0.681524298,0.715461365,0.982664074,0.873904568,0.110965648,0.378498927,0.211294451,0.047677879,0.140789089,0.830513728,0.959340252,0.903182198,0.561897429,0.069337765,0.312485427,0.313902164,0.940895462,0.754412507,0.505005625,0.87875889,0.600610746,0.942645961,0.752544275,0.989084633,0.291664056,0.197596304,0.063010438,0.674559027,0.875042635,0.613332136,0.690244257,0.472779758,0.89402798,0.046885755,0.543407631,0.481582697,0.971077553,0.140597468,0.425404987,0.546766587,0.859814027,0.790635737,0.117762707,0.688450693,0.385142493,0.439882862,0.485198768,0.312714492,0.044952214,0.640992587,0.285549032,0.224286949,0.086359958,0.301155643
1:54,0.858621548,0.654506229,0.786349149,0.093195945,0.261130208,0.927519766,0.880809094,0.063228216,0.319867617,0.080726555,0.551866083,0.382386723,0.081337288,0.818868712,0.342841663,0.694632141,0.261873038,0.10478709,0.507790016,0.22294301,0.990950683,0.273389646,0.812907847,0.805318319,0.414670805,0.968869092,0.389008018,0.607723617,0.010856762,0.18618189,0.835859526,0.57147761,0.717570682,0.464714402,0.238343445,0.364829571,0.202010053,0.340982694,0.270785323,0.69725792,0.282889122,0.59063147,0.124400738,0.233728257,0.141436748,0.716166366,0.187271888,0.743310736,0.354571448,0.218575208,0.904448401,0.508617149,0.528770062,0.809772601,0.352447536,0.289430821,0.523235879,0.900467016,0.213747893,0.315105299,0.919525569,0.804075104
1:55,0.774161959,0.001726401,0.499398291,0.458719907,0.599005276,0.171524687,0.668333829,0.38906248,0.010532011,0.737766429,0.086779352,0.180533084,0.215399212,0.430347808,0.837858083,0.25643802,0.802816133,0.768139022,0.39279927,0.594007806,0.034714856,0.663491314,0.875622352,0.381886492,0.926996622,0.803328332,0.439742666,0.172207306,0.394488851,0.775475544,0.663451769,0.960868529,0.609662014,0.707309058,0.790555108,0.800665012,0.970827918,0.037498371,0.782948635,0.503887722,0.235490501,0.970988577,0.645864755,0.760805949,0.584457564,0.096262982,0.263505458,0.189655936,0.600305057,0.904304608,0.328570584,0.844696368,0.350688091,0.572491128,0.635468019,0.847506965,0.138401557,0.272346679,0.922513415,0.902686356,0.906766103,0.533421014
1:56,0.138235373,0.394231031,0.511123241,0.013656941,0.325720919,0.984287636,0.24735781,0.805697989,0.487215649,0.288510916,0.648634933,0.135564597,0.221492781,0.504010117,0.101790212,0.344811345,0.62330438,0.505871778,0.410785609,0.54494689,0.741453609,0.094269141,0.159929611,0.552983662,0.72500443,0.770413951,0.474351164,0.280476569,0.401156426,0.654963659,0.736217573,0.972379091,0.901428303,0.209568785,0.21205171,0.652937572,0.84783437,0.044302226,0.168831634,0.648702372,0.896901292,0.929833814,0.369322564,0.412934824,0.221422379,0.889809404,0.157303582,0.506461708,0.387953898,0.092351515,0.34225153,0.877597759,0.418412557,0.590918738,0.971513132,0.616344852,0.334018609,0.91493031,0.614686057,0.184896671,0.843213303,0.682860743
1:57,0.756551696,0.799680906,0.196938699,0.7817567,0.938784623,0.346895828,0.53290511,0.596120913,0.393921557,0.298159935,0.687831524,0.967775891,0.36773568,0.366237228,0.187367612,0.532337191,0.183692104,0.764186573,0.806569612,0.913998263,0.926336062,0.342670298,0.934529015,0.268119537,0.768695051,0.006748609,0.413798209,0.856920395,0.106968633,0.043206418,0.541070564,0.109661495,0.913407406,0.459722731,0.423439055,0.036034156,0.287529136,0.937870548,0.527532791,0.33772837,0.152288754,0.466640591,0.063859817,0.186269413,0.796074033,0.88105039,0.78544586,0.619365664,0.986074981,0.209553932,0.935136004,0.577938104,0.674312994,0.818985124,0.131682715,0.832176094,0.396465354,0.371627225,0.275183962,0.281339796,0.656534676,0.938536992
1:58,0.938775769,0.570770683,0.750111285,0.573953469,0.388515547,0.884394531,0.516776585,0.161965216,0.145488379,0.919747957,0.370089693,0.160841657,0.43094055,0.274586832,0.25541866,0.982981634,0.510124401,0.182087325,0.506543208,0.738183279,0.107099353,0.407789895,0.402169625,0.235999614,0.863927425,0.47825466,0.075272828,0.48178797,0.473566694,0.403896451,0.773556427,0.374901656,0.665008922,0.525957456,0.875053218,0.069342909,0.512504922,0.702207278,0.407239258,0.754806583,0.120257653,0.71261858,0.158598325,0.573022208,0.380044268,0.01476714,0.003880145,0.538359748,0.806946093,0.861812108,0.029251703,0.345102526,0.579112894,0.460990876,0.369869706,0.557976827,0.558905571,0.470760907,0.671168733,0.35381699,0.862827094,0.669789729
1:59,0.784229678,0.716038693,0.035137634,0.57886729,0.573212205,0.440016308,0.562907252,0.057120127,0.047895925,0.447064803,0.725986062,0.420258645,0.9031909,0.126137401,0.31313638,0.329876948,0.012389977,0.582239384,0.352862165,0.228474479,0.154838182,0.567983313,0.64629046,0.800954735,0.252088463,0.149645353,0.39855453,0.066271557,0.487178158,0.409143483,0.348099327,0.57427201,0.874209247,0.933930462,0.108323611,0.23563252,0.264578797,0.181419681,0.066307437,0.853623551,0.933704723,0.260816989,0.170559653,0.639425886,0.431642435,0.380938365,0.935584975,0.529028015,0.3648672,0.213422628,0.856242734,0.671141595,0.316273851,0.526314521,0.869170186,0.379438481,0.743641629,0.03506754,0.401369469,0.771121283,0.418967145,0.052642926
2:00,0.200988489,0.549975024,0.692724353,0.277072761,0.658702563,0.804268666,0.012528409,0.307323635,0.477669779,0.646987524,0.999057634,0.254684347,0.91872058,0.986099731,0.457197946,0.558550665,0.398384733,0.053550275,0.223447189,0.455918348,0.917291924,0.187308143,0.719530844,0.58500146,0.696272632,0.0096097,0.118325057,0.08572868,0.820187796,0.01916714,0.428641637,0.364371509,0.519583263,0.790707861,0.354645224,0.352293281,0.843704486,0.113491663,0.94034323,0.823816293,0.119205514,0.71531958,0.468335259,0.097017226,0.577584245,0.050597838,0.978178001,0.97276724,0.257673798,0.021256589,0.352725005,0.508648912,0.839496053,0.789881312,0.025289361,0.56208238,0.772432667,0.728315234,0.001701108,0.507763279,0.206861211,0.487135733
2:01,0.058794596,0.509268873,0.810873764,0.747307339,0.422744177,0.390247615,0.36267372,0.879404087,0.97033778,0.669989184,0.872116555,0.152799637,0.645722554,0.50613003,0.733399322,0.312557864,0.380845124,0.938539828,0.923591058,0.816007152,0.994534117,0.491024237,0.096538789,0.681690223,0.973342202,0.777674924,0.92109165,0.094781497,0.766734198,0.959099129,0.210381907,0.606868547,0.300572022,0.900597608,0.551618031,0.053773184,0.028835412,0.840059261,0.403504443,0.581023956,0.828639533,0.538551957,0.318525327,0.512351568,0.36507959,0.94676602,0.058777638,0.930767698,0.779655493,0.407318918,0.777861734,0.39211164,0.736657744,0.64912981,0.17608102,0.217477226,0.856349934,0.959718672,0.624222278,0.179451312,0.775305576,0.226926552
2:02,0.672798923,0.015156343,0.352587241,0.804992123,0.673099932,0.430390722,0.43995487,0.513733228,0.922554916,0.125595406,0.020050699,0.149751501,0.37467312,0.374396181,0.270710695,0.218193448,0.80157753,0.022037139,0.173562202,0.530663696,0.022369913,0.743684748,0.651221102,0.107182572,0.939887318,0.230322163,0.550186374,0.734322714,0.284641001,0.857561665,0.819856546,0.519402608,0.41515943,0.04317384,0.462258706,0.625752279,0.52344047,0.660287041,0.226323937,0.848346346,0.532570305,0.659971437,0.996791021,0.397672285,0.167933364,0.66331654,0.752307165,0.034342214,0.183882464,0.411160871,0.837515372,0.90042341,0.356208269,0.635991831,0.271473954,0.06904781,0.873609796,0.619618201,0.633262455,0.819958952,0.243708485,0.774520697
2:03,0.308789346,0.514666072,0.631561847,0.761422243,0.573421226,0.745236216,0.574599249,0.007594976,0.877840247,0.629135758,0.74418017,0.938833813,0.435662429,0.053019709,0.208754696,0.502936912,0.954951865,0.629874238,0.522404931,0.160688392,0.940976268,0.498627829,0.104687796,0.714819734,0.227800655,0.176566721,0.245947904,0.856864424,0.81943886,0.456693277,0.014630668,0.22334155,0.08338892,0.332087771,0.22367947,0.658316208,0.462396261,0.693044629,0.3443123,0.900136185,0.076852925,0.130236036,0.371415961,0.42238436,0.267679824,0.519645809,0.887198222,0.236608318,0.750613689,0.250669696,0.415685189,0.610657282,0.948450544,0.104356501,0.451018373,0.288676968,0.449891621,0.571042638,0.564386506,0.50528564,0.188312637,0.744172275
2:04,0.879422846,0.930714668,0.961910047,0.167665177,0.245240933,0.663273748,0.13715219,0.075693459,0.208915212,0.921717423,0.72629907,0.887046603,0.605575737,0.73329625,0.98402897,0.944259315,0.943600979,0.810152131,0.195607172,0.716083931,0.23841926,0.866152911,0.77095035,0.793364688,0.06124705,0.526111017,0.35927991,0.827107806,0.8492539,0.785839555,0.180841455,0.127807016,0.38406527,0.092873761,0.703773136,0.322519119,0.561579392,0.803342566,0.196933617,0.586190224,0.491045951,0.385021915,0.383106023,0.36290976,0.740386174,0.782079809,0.880564671,0.484597535,0.201730777,0.569679249,0.382684122,0.424141479,0.21622903,0.103333079,0.688989592,0.029002534,0.657168521,0.638883857,0.312167359,0.976298155,0.891423119,0.948906329
